,username,date,content,user_location,bulan
0,bayu_bs07,2021-04-29 16:21:58+00:00,"BUBARKAN SATGAS COVID, CABUT ANGGARAN COVID, STOP WAJIB MASKER&amp;VAKSIN. HIDUPLAH NORMAL, KEBIJAKAN PEMERINTAH LEBIH MEMATIKAN DARI COVID YANG HANYA BISA MELARANG TANPA SOLUSI. @KawalCOVID19 @jokowi",Sumatera Selatan,April
1,Arjuna188,2021-04-29 01:28:56+00:00,"Dinkes Musirawas 28 April 2021
Alhamdulillah Musirawas telah menerima vaksin Covid19 tambahan untuk akselerasi cakupan vaksinasi klaster Lansia.
@MANTAB👌 https://t.co/CMRtcL469J",Sumatera Selatan,April
2,Ryvinfer,2021-04-23 05:18:06+00:00,@hestipratiw1 Efek vaksin covid 🦠😷,Sumatera Selatan,April
3,TinggiKejaksaan,2021-04-22 23:35:03+00:00,"Sobat Adhyaksa , penyebaran Covid 19 masih sangat tinggi di beberapa daerah terutama di Jakarta Saat ini banyak kelurahan masih masuk dalam zona merah , meski upaya vaksin sdh dijalankan namun kita tidak boleh lengah dan harus tetap waspada dari penyebaran virus covid19. https://t.co/CpgNLwIWT1",Sumatera Selatan,April
4,yul9500,2021-04-20 11:05:29+00:00,@BersamaSahabat4 Palestina dapat vaksin dari Israel... kok gak ada yang demo tolak vaksin kafir...,Sumatera Selatan,April
5,4rdn4n,2021-04-15 07:14:02+00:00,"Ketika vaksin terbaru dites ke 30 orang, hasilnya meragukan, maka dalam bidang kesehatan seharusnya ga bisa dipake. Tingkat kepercayaan untuk kesehatan itu biasanya sangat tinggi bisa 0,01% makanya partisipannya sampe ribuan. Ini kayak penelitian skripsi anak sma, 10% wkwkwk",Sumatera Selatan,April
6,4rdn4n,2021-04-15 02:41:22+00:00,"@drpriono1 @jokowi @DPR_RI @KemenristekBRIN @KemenkesRI Tweet ini jelas² menyalahkan vaksin yg dibuat dgn pembohongan publik oleh ""ahli"". Tapi yg diserang presiden. Keren emang orang indonesia. Apapun masalahnya, presiden adalah sumber kesalahan.",Sumatera Selatan,April
7,4rdn4n,2021-04-14 09:42:08+00:00,@CNNIndonesia Benar² illogical tuh DPR yg mendukung vaksin ini.,Sumatera Selatan,April
8,penpennapen,2021-04-13 09:49:10+00:00,Mari vaksin kedua lakok tambah flu ik,Sumatera Selatan,April
9,murniyoungest,2021-04-12 11:14:11+00:00,"Kalian sudah divaksin belum nih?

#vaksin https://t.co/6ZnrZAsu5c",Sumatera Selatan,April
10,PolsekPlaju3,2021-04-10 23:34:32+00:00,"Jangan Takut!!

Vaksin Covid-19
Aman dan Halal.. https://t.co/AJYl6sXkGo",Sumatera Selatan,April
11,PolsekPlaju3,2021-04-04 00:06:24+00:00,"Jangan Takut Vaksin Covid-19
Aman dan Halal https://t.co/OMqmhlXhce",Sumatera Selatan,April
12,PolsekPlaju3,2021-04-01 22:07:08+00:00,"Vaksin Aman dan Halal
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#sukseskanvaksinasi
@DivHumas_Polri
@listyosigit_
@PolisiSumsel
@irvanprawira
@palembangpolice
@novelsiswandi1977 https://t.co/odLVXSVdFe",Sumatera Selatan,April
